classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
571723447,not-logged-in-0dbd61bceaa0e8c8cd28,,0dbd61bceaa0e8c8cd28,26267,Describe Photographs,7.25,2024-07-09 07:15:58 UTC,,,"{""source"":""api"",""session"":""202a7018634fd075a1f01b68af60955f5acc1ea299fef28a53f71c7b798958c0"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1536,""height"":695},""started_at"":""2024-07-09T07:13:49.364Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""utc_offset"":""-36000"",""finished_at"":""2024-07-09T07:15:57.801Z"",""live_project"":true,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":965.9874877929688,""clientHeight"":1436.1014404296875,""naturalWidth"":900,""naturalHeight"":1338}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:13:49.208Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""A woman is working on a piece of equipment and a second woman is watching. "",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653328"":{""retired"":null,""year"":"""",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT53"",""image_name_1"":""001 (76)_cropped_image_2.jpg""}}",99653328
571723683,not-logged-in-76db7f3c1ec124643509,,76db7f3c1ec124643509,26267,Describe Photographs,7.25,2024-07-09 07:17:44 UTC,,,"{""source"":""api"",""session"":""202a7018634fd075a1f01b68af60955f5acc1ea299fef28a53f71c7b798958c0"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1536,""height"":695},""started_at"":""2024-07-09T07:15:58.677Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36"",""utc_offset"":""-36000"",""finished_at"":""2024-07-09T07:17:44.246Z"",""live_project"":true,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":949.1875,""clientHeight"":735.0358276367188,""naturalWidth"":1015,""naturalHeight"":786}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:13:49.208Z"",""already_seen"":false,""selection_state"":""internal_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""A factory floor wih some women seated and working on items on the desk in front of them. "",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653308"":{""retired"":null,""year"":""1940-1970"",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT33"",""image_name_1"":""001 (88)_cropped_image_3.jpg""}}",99653308
571724259,not-logged-in-4827302035c045f132f2,,4827302035c045f132f2,26267,Describe Photographs,7.25,2024-07-09 07:24:23 UTC,,,"{""source"":""api"",""session"":""09e25f229dc1cdaadede5132d0746cb5caa61634f7a4a7a89b07db661f773e11"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1677,""height"":907},""started_at"":""2024-07-09T07:22:11.398Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"",""utc_offset"":""-36000"",""finished_at"":""2024-07-09T07:24:22.741Z"",""live_project"":true,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1106.9921875,""clientHeight"":1481.04443359375,""naturalWidth"":876,""naturalHeight"":1172}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:22:11.415Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""A seated audience of people in formal evening-wear looking amused."",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653303"":{""retired"":null,""year"":""1940-1970"",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT28"",""image_name_1"":""001 (85)_cropped_image_1.jpg""}}",99653303
571724315,not-logged-in-4827302035c045f132f2,,4827302035c045f132f2,26267,Describe Photographs,7.25,2024-07-09 07:25:10 UTC,,,"{""source"":""api"",""session"":""09e25f229dc1cdaadede5132d0746cb5caa61634f7a4a7a89b07db661f773e11"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1677,""height"":907},""started_at"":""2024-07-09T07:24:23.494Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"",""utc_offset"":""-36000"",""finished_at"":""2024-07-09T07:25:09.755Z"",""live_project"":true,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1106.984375,""clientHeight"":866.1434326171875,""naturalWidth"":1002,""naturalHeight"":784}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:22:11.415Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""Three tall and one smaller machines, each with lots of cables and dials. \n"",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653330"":{""retired"":null,""year"":"""",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT55"",""image_name_1"":""001 (77)_cropped_image_2.jpg""}}",99653330
571724639,not-logged-in-963831804ab30b7f4faf,,963831804ab30b7f4faf,26267,Describe Photographs,7.25,2024-07-09 07:29:08 UTC,,,"{""source"":""api"",""session"":""09e25f229dc1cdaadede5132d0746cb5caa61634f7a4a7a89b07db661f773e11"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1677,""height"":907},""started_at"":""2024-07-09T07:25:10.048Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"",""utc_offset"":""-36000"",""finished_at"":""2024-07-09T07:29:07.731Z"",""live_project"":true,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1106.9921875,""clientHeight"":1532.194580078125,""naturalWidth"":1057,""naturalHeight"":1463}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:22:11.415Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""Two women and a man pose for a photo in front of a plain backdrop. The man in is in the middle wearing a dark suit and the two young women are on each side of him.  One wears a darker dress, cinched at the waist with a belt and the other a light coloured dress and smart jacket. "",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653307"":{""retired"":null,""year"":""1940-1970"",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT32"",""image_name_1"":""001 (88)_cropped_image_2.jpg""}}",99653307
571724808,CathyW,1758390,994df6ad92ab5c3e5219,26267,Describe Photographs,7.25,2024-07-09 07:31:26 UTC,,,"{""source"":""api"",""session"":""585ec402855d47561ca2cab169a22b3ca0ea205b5d431fd2633af9192a263f76"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1696,""height"":808},""started_at"":""2024-07-09T07:23:45.377Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"",""utc_offset"":""-3600"",""finished_at"":""2024-07-09T07:31:23.467Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1126.5250244140625,""clientHeight"":900.9651489257812,""naturalWidth"":884,""naturalHeight"":707}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:23:47.642Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""Black and white photo of a work bench inside an industrial unit. The work bench runs the length of the wall and is well light by a number of windows and overhead lighting."",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653344"":{""retired"":null,""year"":"""",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT69"",""image_name_1"":""001 (81)_cropped_image_1.jpg""}}",99653344
571725155,CathyW,1758390,2963536f55fd5a8cd139,26267,Describe Photographs,7.25,2024-07-09 07:36:11 UTC,,,"{""source"":""api"",""session"":""585ec402855d47561ca2cab169a22b3ca0ea205b5d431fd2633af9192a263f76"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1696,""height"":808},""started_at"":""2024-07-09T07:31:23.913Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"",""utc_offset"":""-3600"",""finished_at"":""2024-07-09T07:36:09.148Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1106.2584228515625,""clientHeight"":1811.2423095703125,""naturalWidth"":703,""naturalHeight"":1151}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:23:47.642Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""Black and white photo of people, mainly women, sitting in a venue all facing the same direction.  Most have their mouths open which suggest they may be singing."",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653304"":{""retired"":null,""year"":""1940-1970"",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT29"",""image_name_1"":""001 (85)_cropped_image_2.jpg""}}",99653304
571725708,CathyW,1758390,b168c92b078b8d7dc4a2,26267,Describe Photographs,7.25,2024-07-09 07:42:37 UTC,,,"{""source"":""api"",""session"":""585ec402855d47561ca2cab169a22b3ca0ea205b5d431fd2633af9192a263f76"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1696,""height"":808},""started_at"":""2024-07-09T07:36:09.586Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"",""utc_offset"":""-3600"",""finished_at"":""2024-07-09T07:42:34.412Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1106.25,""clientHeight"":716.0454711914062,""naturalWidth"":2200,""naturalHeight"":1424}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:23:47.642Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""Black and white photo of a man standing up from a chair by a wooden desk. To the right of him are two metal lockers and a sign saying \""These premises are protected by Barrett\"". To the left of the picture are two sweeping brushes and a hand shovel and sweepings on the floor.  "",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653288"":{""retired"":{""id"":129729467,""workflow_id"":26267,""classifications_count"":15,""created_at"":""2024-05-31T12:15:41.133Z"",""updated_at"":""2024-07-16T20:05:06.526Z"",""retired_at"":""2024-07-16T20:05:06.516Z"",""subject_id"":99653288,""retirement_reason"":""classification_count""},""year"":""1991"",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Drummonds Mill"",""collection"":""Tim Smith"",""internal_id"":""DBT13"",""image_name_1"":""Drummonds Mill Bradford-DRUMMONDS 1991-28press.jpg""}}",99653288
571726072,not-logged-in-655c21baa17057755f9b,,655c21baa17057755f9b,26267,Describe Photographs,7.25,2024-07-09 07:48:22 UTC,,,"{""source"":""api"",""session"":""6da79c7900c81896abae12169f4cb0c407e064ab3295e96424394154fcb0a5bb"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1364,""height"":607},""started_at"":""2024-07-09T07:46:27.193Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36 OPR/111.0.0.0"",""utc_offset"":""-3600"",""finished_at"":""2024-07-09T07:48:16.993Z"",""live_project"":true,""user_language"":""en"",""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":793.984375,""clientHeight"":569.17822265625,""naturalWidth"":1441,""naturalHeight"":1033}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:46:32.290Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""A canteen serving area with counter, tea-urn and food-hatches"",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653321"":{""retired"":null,""year"":"""",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT46"",""image_name_1"":""001 (72)_cropped_image_1_2.jpg""}}",99653321
571726131,CathyW,1758390,b0139e9ada914fffce35,26267,Describe Photographs,7.25,2024-07-09 07:48:51 UTC,,,"{""source"":""api"",""session"":""585ec402855d47561ca2cab169a22b3ca0ea205b5d431fd2633af9192a263f76"",""feedback"":{},""revision"":""5bcd1c865072035fe27ecce43acc58b69acf4e58"",""viewport"":{""width"":1696,""height"":808},""started_at"":""2024-07-09T07:42:34.849Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0"",""utc_offset"":""-3600"",""finished_at"":""2024-07-09T07:48:48.536Z"",""live_project"":true,""user_language"":""en"",""user_group_ids"":[],""subject_flagged"":false,""classifier_version"":""2.0"",""subject_dimensions"":[{""clientWidth"":1106.2584228515625,""clientHeight"":771.099609375,""naturalWidth"":1416,""naturalHeight"":987}],""subject_selection_state"":{""retired"":false,""selected_at"":""2024-07-09T07:23:47.642Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false}}","[{""task"":""T0"",""value"":""Black and white photo of a group of canteen workers, mainly women.  The group are standing behind the serving counter.  Behind the group on the right is a menu. \""Mushroom Soup\"" is on the menu. The rest is difficult to read."",""task_label"":""Help us by looking at the photograph and writing a description of what you see in the text box below.  \n\nYou can write more than one sentence, but please try to keep the descriptions simple and not too long in length.\n\nIf there is text involved, please transcribe it and use quotation marks around the transcription.\n\nFor more help on writing a description, please check the Tutorial or the Field Guide entry.\n\nIf you do not want to describe a particular image, you can refresh the page to work on a different one.""}]","{""99653316"":{""retired"":{""id"":129729450,""workflow_id"":26267,""classifications_count"":15,""created_at"":""2024-05-31T12:14:59.688Z"",""updated_at"":""2024-07-15T09:16:44.395Z"",""retired_at"":""2024-07-15T09:16:44.384Z"",""subject_id"":99653316,""retirement_reason"":""classification_count""},""year"":"""",""#TS_tags"":"""",""group_id"":""test1"",""location"":""Radio Rentals"",""collection"":""National Science and Media Museum"",""internal_id"":""DBT41"",""image_name_1"":""001 (70)_cropped_image_1.jpg""}}",99653316
