image_name_1,year,location,tags,transcription,transcription_id,description,description_id,object,object_id
"001 (1).jpg",1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"“BUSINESS PHOTOS”
(UP TO 1950)
Snapshots",TRUE,"It is a front of a black photo album. It is called ""BUSINESS PHOTOS"" (UP TO 1950) Snapshots. It is black with gold writing and has a tassel at the end of the album",FALSE,
001 (2).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"RR BIRTH PLACE 1930
BRIGHTON
RR DANCE 1936
IBEX HOUSE 1940",FALSE,,FALSE,
001 (3).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,R. R. Holiday Camp,TRUE,"Bottom Right: Several men pose for a photo in front of a small campfire with a roasting spit. There is a white tent and camping supplies in the background in front of a wooded area. Bottom Left: Three men and a single woman at a campfire with food. Middle Right: Man in suit with tie sitting at a desk. He has short hair, is smoking a pipe, and appears to be reading a document. There is a telephone, numerous papers, and a pen on the desk. Middle Left: A man to the left with a pipe glasses and a sailors hat and clothing. A woman to the right with a sailors hat glasses and sailors clothing. There is a dock in the background. Centre: Three tents in a field. Two men are pitching the third tend. One man in shorts the other in long pants. Top Left: A campsite in a field along a treeline. Five tents are shown with 8 people. Top Right: Seventeen people (two women some men and some children) all in a grassy field with trees in the background. There are also tents in the background and some tree logs at the front and the entire group is surrounding a smoky campfire in the grassy field with three pieces of wood structured over the campfire. All the people present are looking towards the camera, some sat on the field and some standing up. ",FALSE,
001 (4).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,R.R. Newington Butts 1938,TRUE,Bottom Left: The outside wall of an industrial building. 4 large windows are visible on the lower level which are latticed and some of the windows are open. The top level has a large half-paned double door in the centre above the window on the lower level. To the left of the double door is a smaller open door. There is a flight of steps leading down from this door to the left. Bottom Right: Two men in an office. One is smoking a pipe while the other holds a small piece of paper the size of a postcard. Centre: Three men work in a large factory room. There are eight rows of cloth covered boxes in the foreground and many cloth covered rolls in the background. Top Left: A storage shelf with three rows stocked with radio parts. Top Right: Factory workers assembling equipment.,TRUE,radios; speakers
001 (5).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"These works totally destroyed in the ""Blitz""
",TRUE,Bottom Centre: There are 4 men working in an office; 3 are seated and 1 is standing near a file rack. Bottom Right: A young man dressed in a work coat beside a large paned glass window. The man is looking at a machine with a lot of buttons and dials. Bottom Left:  Rear of a large brick warehouse featuring a loading bay and several large windows. Two cars are parked behind the building. Top Right: A man reading various paperwork in his office. Pads of paper and folders of documents can be seen around him. Top Centre: Three men in an office one sitting and smoking one standing and one in motion carrying a portfolio. Two hats and a coat are on a hatstand. Top Left: Interior shot of people working in a factory. To the right are opened windows and to the left are shelves of finished products. ,TRUE,speakers
001 (6).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"M. R. G. 1945
""SIGN"" as originally taken over
TOP FLOOR - Development Dept.
Original Canteen - Turned into Offices
TOP FLOOR - ASSEMBLY",TRUE,"Bottom Right: A sunny open space in a building. It appears to have been an office with desks and file folders. Bottom Left: An old industrial building with a large chimney, constructed from brick with multiple windows and a worn appearance. Top Right: A factory seen from the street with a sign that says ""MAINS RADIO GRAMOPHONES LTD NO 2 FACTORY."". Below this it says what looks like ""All Enquiries SALES "" SERVICES TO Head Offices. Norton Gate"". Another sign says ""off GATE ST. SECOND BELOW ON LEFT. Top Left: A large brick building with at least three floors and windows on the roof. There is a large arch doorway and three or four people outside the building. Road is cobblestone instead of paved but no cars are on the road",FALSE,
001 (7).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"ASSEMBLY LINES 1945
MACHINE SHOP (later moved) 1945
BLACKPOOL JUNE 1946",TRUE,"Bottom Left: Inside a building with several large bright windows looking across a room with several pieces of machinery sprawled about on a stone floor. Bottom Right: 30 people (mostly women) pose for a group photo in front of two coaches labelled 'FORDER'S' and 'WHEATLEY'S PRIVATE'. Two children stand in the front row held by adults. Two large buildings are in the background. Top Left: Inside of a building. The floor is large stone and there are tables along the right side and windows down the entire wall. On the left side are boxes in various sizes stacked on each other. A large piece of machinery is in the foreground, with wooden ceiling beams and lighting over the tables. Top Right: 5 men stood at the beach in smart attire. A pier can be seen in the distance. Horses can be seen in the corner of the photograph. ",FALSE,
001 (8).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"Development Department - Turned into offices
FIRST STORES OFFICE
Board fitted in first year - moved downstairs 1948
FIRST WORKS OFFICE",TRUE,Bottom Left: A desk and two chairs in front of a window. The desk it hugging against the right wall. Both chairs are hugging the desk one is facing the right wall and the other is facing the window. There is a bookcase on the left wall full of books. There is a pole in front of the right wall. Bottom Right: An office with desk and chair and another room with posters hanging on a wall. Top Left: An room with no people inside. Desks line all three visible walls and there is a wheeled chair in the middle. Radios and other machinery line the desks and there is a window in the back and wall shelves with assortment of paper/books. Top Right: This is a large room with a telephone switchboard and a Telegraph typewriter. The room is empty. These is an additional room in the background.,TRUE,receivers
001 (9).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"R. R. INSPECTORS’ VISIT TO M.R.G. 1947
M.R.G. 1948",TRUE,"Bottom: A man sitting in an office facing the camera. The man has short hair and a business suit on. He is sitting in front of a desk with papers and other utensils on it. Behind the desk to the left is a file cabinet and on the upper part of the wall in the office there are windows into the other rooms of the building. Top: 16 men wearing suits and ties. The man at the front in the middle has a cane. They are standing in front of a brick building with a sign that says ""MAINS RADIO GRAMOPHONES LTP | DELIVERY DOOR""",FALSE,
001 (10).jpg,1940-1970,Radio Rentals,1940; assembled; baird; bill; Bradford; chairman; company; containing; factory; former; gramophone; green; images; including; lidget; mains; photographs; radio; related; rentals; television; walter; warnes,TRUE,"M.R.G. Dance 6th March 1946
""ASSEMBLY LINES"" 1947",TRUE,Bottom: A photograph of predominantly women sitting in five rows. Seven men can be seen standing around the edges of the group. Top: A large group of men and women pose in several rows for a group photo ,FALSE,
